2025-12-06 08:53:35.550 | DEBUG    | MexcSocket                               | 📡 Subscribed to: CTC_USDT - Min1
2025-12-06 08:53:35.550 | DEBUG    | MexcSocket                               | 📡 Subscribed to: IKA_USDT - Min1
2025-12-06 08:53:35.550 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TRUST_USDT - Min1
2025-12-06 08:53:35.550 | DEBUG    | MexcSocket                               | 📡 Subscribed to: OBOL_USDT - Min1
2025-12-06 08:53:35.551 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BLUAI_USDT - Min1
2025-12-06 08:53:35.551 | DEBUG    | MexcSocket                               | 📡 Subscribed to: VET_USDT - Min1
2025-12-06 08:53:35.551 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ELX_USDT - Min1
2025-12-06 08:53:35.551 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ACT_USDT - Min1
2025-12-06 08:53:35.551 | DEBUG    | MexcSocket                               | 📡 Subscribed to: CHZ_USDT - Min1
2025-12-06 08:53:35.552 | DEBUG    | MexcSocket                               | 📡 Subscribed to: HIPPO_USDT - Min1
2025-12-06 08:53:35.552 | DEBUG    | MexcSocket                               | 📡 Subscribed to: XPIN_USDT - Min1
2025-12-06 08:53:35.552 | DEBUG    | MexcSocket                               | 📡 Subscribed to: JASMY_USDT - Min1
2025-12-06 08:53:35.552 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PNUT_USDT - Min1
2025-12-06 08:53:35.552 | DEBUG    | MexcSocket                               | 📡 Subscribed to: GAIB_USDT - Min1
